SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 3652,824 ; 1,293 ; 488,235 ; 2,752237 ; 2,128567 ; 0,032245822
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 32626,379 ; 26,1585 ; 384,82825 ; 21,108677 ; 0,80695283 ; 0,05787217
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 53975,38 ; 28,90925 ; 315,3435 ; 23,537195 ; 0,81417525 ; 0,041200217
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 58335,53 ; 25,811 ; 446,1175 ; 23,745134 ; 0,9199618 ; 0,037812706
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 86961,664 ; 32,3375 ; 1000,203 ; 28,716932 ; 0,88803804 ; 0,029616168
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 54253,652 ; 17,35375 ; 11885,811 ; 14,951093 ; 0,86154824 ; 0,00863667
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 6914,417 ; 4,14925 ; 510,691 ; 4,379161 ; 1,0554103 ; 0,036428265
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 2675,4875 ; 1,30475 ; 509,701 ; 2,9388962 ; 2,2524593 ; 0,03781148
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 75633,305 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,039474044
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 2837,2114 ; 1,3695 ; 514,529 ; 2,7924576 ; 2,0390344 ; 0,034982238
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 3724,3828 ; 1,319 ; 490,158 ; 2,93146 ; 2,2224867 ; 0,033984147
