DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 2125146,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 9,5643057E-4
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 1293828,1 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,001570962
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 610402,44 ; 94,585 ; 770,25775 ; 10,750772 ; 0,113662556 ; 0,0017393117
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 51367,85 ; 2,38275 ; 850,01276 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 224725,97 ; 33,61375 ; 34394,906 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 37987,785 ; 1,61125 ; 921,2485 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 105865,516 ; 17,261 ; 1069,7247 ; 0,0 ; 0,0 ; 0,0
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 25757,158 ; 1,6915 ; 853,5538 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 1617130,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,00125689
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 859402,3 ; 134,94826 ; 594,8137 ; 13,656639 ; 0,101199076 ; 0,0015781629
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 2125146,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 9,5643057E-4
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 159330,12 ; 9,98625 ; 1092,388 ; 0,0 ; 0,0 ; 0,0
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 177234,56 ; 29,67775 ; 28114,764 ; 1,4786001 ; 0,049821842 ; 3,2256928E-4
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 860012,5 ; 135,47775 ; 594,283 ; 13,654505 ; 0,1007878 ; 0,001576814
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 357333,2 ; 17,19375 ; 1069,1064 ; 0,0 ; 0,0 ; 0,0
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 75315,234 ; 3,072 ; 900,3685 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 323442,38 ; 53,95575 ; 955,316 ; 0,0 ; 0,0 ; 0,0
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 1293828,1 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,001570962
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 272312,78 ; 46,60925 ; 975,4725 ; 1,801663 ; 0,038654625 ; 6,387347E-4
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 229826,6 ; 35,53775 ; 22581,033 ; 1,8280654 ; 0,051440097 ; 4,0121097E-4
