relevanceModel;memoryStrategy;engine;storing;retrieving;oblivion;comparisions;activeBeliefs;pages;utilitySum;cpuEfficiency;memEfficiency
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;26917,373;3,74375;777,2125;0,5068401;0,135383;0,001461076
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;14712,106;1,67825;677,965;1,0445415;0,6223992;0,004860196
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;190587,77;64,7185;455,5555;29,848955;0,4612121;0,015295913
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;19555,062;2,56025;776,7457;1,1401962;0,44534564;0,004173101
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;262879,25;272,50925;0;32,05574;0,117631756;0,012194092
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;418911,56;272,50925;0;32,05574;0,117631756;0,00765215
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;357739,06;64,23375;444,52475;30,064156;0,46804297;0,008300789
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;6580,6577;1,72675;733,51324;0,6209451;0,35960335;0,004462162
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;328468;272,50925;0;32,05574;0,117631756;0,009759166
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;10140,542;1,51425;684,3868;1,1639926;0,7686925;0,0068533
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;371456,5;69,88325;493,90176;26,962164;0,38581726;0,007163253
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;202636,05;69,8845;479,779;26,96675;0,38587597;0,013000168
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;361684,03;276,6475;0;28,794811;0,10408484;0,007961317
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;9291,12;2,3085;774,413;0,36024198;0,15605024;0,002114686
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;12781,996;1,80025;717,14;0,25504902;0,14167422;0,001278224
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;431826,78;276,6475;0;28,794811;0,10408484;0,006668139
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;19918,234;2,19225;702,654;0,25504902;0,11634121;9,47E-04
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;301414,44;276,6475;0;28,794811;0,10408484;0,009553229
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;33947,66;5,442;789,83124;0,9977984;0,18335141;0,002384455
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;386430,16;69,4645;423,1635;24,56247;0,35359743;0,006287401
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;336059,38;279,509;0;25,84486;0,092465214;0,007690564
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;10770,986;1,6585;681,12976;0,48450112;0,29213214;0,002755621
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;7173,288;2,04425;746,02673;0,45356503;0,22187357;0,003099486
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;56507,06;9,00875;742,2228;0,42457765;0,047129475;6,64E-04
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;413982,06;279,509;0;25,84486;0,092465214;0,006242991
